"id","trial","condition","acc","obs","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",1,100,10,0,0.28,0.32,0,0,0,0,0,0,0,0,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",2,31,3,1,0,0.77,0.65,0.59,0.44,0.31,0.22,0,0,0,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",3,102,10,2,0,0.99,0.99,0.4,0,0,0.02,0.01,0.04,0.02,0.03
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",4,74,7,4,0,0.99,0.99,0.99,0.99,0.71,0.45,0.22,0,0,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",5,87,8,7,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.34,0.21,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",6,54,5,4,0,0.99,0.99,0.99,0.99,0.99,0.76,0.55,0.39,0.23,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",7,99,9,9,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.66
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",8,101,10,1,0,0.99,0.73,0.42,0,0,0,0.03,0.01,0,0.01
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",9,44,4,4,0,0.99,0.99,0.99,0.99,0.74,0.61,0.37,0.3,0.18,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",10,22,2,2,0,0.99,0.99,0.72,0.67,0.61,0.54,0.42,0.33,0.21,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",11,21,2,1,0,0.99,0.99,0.99,0.7,0.54,0.43,0.36,0.32,0.23,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",12,51,5,1,0,0.99,0.76,0.62,0.38,0.2,0,0,0.03,0.03,0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2",13,108,10,8,0,0.96,0.95,0.95,0.95,0.96,0.98,0.94,0.95,0.05,0.03
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",1,105,10,5,0.91,0.77,0.49,0.75,0.23,0.99,0.2,0.5,0.99,0.47,0.15
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",2,63,6,3,0.22,0.72,0.5,0.24,0.74,0.21,0.77,0.5,0.78,0.24,0.5
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",3,86,8,6,0.72,0.5,0,0.5,0.8,0.99,0.72,0.5,0.23,0.68,0.84
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",4,101,10,1,0.1,0.05,0.24,0.44,0.16,0.16,0.77,0.21,0.21,0.23,0.03
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",5,103,10,3,0.78,0.5,0.19,0.09,0.03,0.8,0.5,0.06,0.9,0.21,0.5
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",6,62,6,2,0.76,0.3,0.25,0.05,0.94,0.22,0.73,0.5,0.26,0.72,0
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",7,97,9,7,0.89,0.78,0.5,0.06,0.74,0.25,0.99,0.27,0.8,0.99,0.89
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",8,91,9,1,0.1,0.3,0.72,0.28,0.05,0.21,0.01,0.37,0.19,0.48,0
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",9,95,9,5,0.78,0.74,0.94,0.5,0.05,0.87,0.23,0.82,0.69,0.18,0
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",10,75,7,5,0.73,0.48,0.76,0,0.26,0.99,0.81,0.5,0.99,0.21,0.5
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",11,87,8,7,0.99,0.78,0.72,0.5,0,0.67,0.3,0.72,0.99,0.24,0.68
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",12,52,5,2,0.18,0.49,0.03,0.8,0.19,0.99,0.5,0.21,0.68,0.01,0.23
