"id","itemTime","trialnumber","kind","expression","access","observation","state","RT","value"
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c","1,48E+12",5,"c","certainlyNot",4,4,NA,16161,44
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c","1,48E+12",6,"f","probablyNot",NA,NA,4,12897,NA
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c","1,48E+12",7,"c","probably",3,2,NA,14751,32
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c","1,48E+12",8,"f","probably",NA,NA,6,7482,NA
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c","1,48E+12",9,"c","certainly",5,4,NA,7920,54
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c","1,48E+12",10,"f","certainly",NA,NA,7,5598,NA
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",1,"c","certainlyNot",10,5,NA,285106,105
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",2,"f","certainlyNot",NA,NA,2,11135,NA
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",3,"c","possibly",6,5,NA,19156,65
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",4,"f","possibly",NA,NA,5,5241,NA
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",5,"c","probablyNot",7,5,NA,18691,75
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",6,"f","certainly",NA,NA,10,6568,NA
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",7,"c","certainly",5,1,NA,8869,51
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",8,"f","probably",NA,NA,7,5631,NA
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",9,"c","probably",7,5,NA,13461,75
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e","1,48E+12",10,"f","probablyNot",NA,NA,2,6624,NA
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",1,"c","possibly",5,3,NA,22512,53
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",2,"f","possibly",NA,NA,6,6026,NA
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",3,"c","probably",6,3,NA,9716,63
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",4,"f","certainly",NA,NA,6,3864,NA
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",5,"c","probablyNot",7,4,NA,8571,74
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",6,"f","certainlyNot",NA,NA,5,7559,NA
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",7,"c","certainlyNot",8,5,NA,11299,85
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",8,"f","probablyNot",NA,NA,5,4660,NA
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",9,"c","certainly",7,1,NA,9803,71
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22","1,48E+12",10,"f","probably",NA,NA,5,3483,NA
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",1,"c","possibly",4,2,NA,37287,42
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",2,"f","certainly",NA,NA,5,11633,NA
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",3,"c","certainlyNot",5,1,NA,13658,51
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",4,"f","certainlyNot",NA,NA,2,10217,NA
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",5,"c","probably",4,3,NA,24707,43
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",6,"f","probably",NA,NA,7,9632,NA
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",7,"c","probablyNot",6,2,NA,28888,62
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",8,"f","probablyNot",NA,NA,4,9433,NA
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",9,"c","certainly",6,5,NA,11295,65
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38","1,48E+12",10,"f","possibly",NA,NA,9,5131,NA
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",1,"c","probably",7,3,NA,132302,73
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",2,"f","certainly",NA,NA,5,11351,NA
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",3,"c","probablyNot",7,5,NA,54950,75
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",4,"f","certainlyNot",NA,NA,5,25756,NA
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",5,"c","certainly",9,1,NA,70444,91
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",6,"f","possibly",NA,NA,5,7454,NA
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",7,"c","certainlyNot",9,5,NA,41181,95
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",8,"f","probably",NA,NA,5,3342,NA
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",9,"c","possibly",4,2,NA,27509,42
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830","1,48E+12",10,"f","probablyNot",NA,NA,5,4429,NA
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",1,"c","probablyNot",7,5,NA,25469,75
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",2,"f","probablyNot",NA,NA,5,6380,NA
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",3,"c","certainly",5,0,NA,11554,50
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",4,"f","certainly",NA,NA,5,3261,NA
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",5,"c","possibly",6,2,NA,12134,62
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",6,"f","certainlyNot",NA,NA,5,6533,NA
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f","1,48E+12",7,"c","certainlyNot",5,0,NA,12129,50
