"id";"itemTime";"trialnumber";"kind";"expression";"access";"observation";"state";"RT";"language";"comments";"engagement";"difficulty"
"9a6849f5688152126566143532965efbabbc17dbd69719954b6de69ff4129991";"1,48E+12";9;"c";"cerNot";7;0;NA;10642;"English";NA;6;2
"9a6849f5688152126566143532965efbabbc17dbd69719954b6de69ff4129991";"1,48E+12";10;"f";"poss";NA;NA;5;3070;"English";NA;6;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";1;"c";"poss";6;2;NA;18330;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";2;"f";"poss";NA;NA;5;14841;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";3;"c";"probNot";5;2;NA;17024;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";4;"f";"cerNot";NA;NA;4;8106;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";5;"c";"cerNot";4;4;NA;16161;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";6;"f";"probNot";NA;NA;4;12897;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";7;"c";"prob";3;2;NA;14751;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";8;"f";"prob";NA;NA;6;7482;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";9;"c";"cer";5;4;NA;7920;"English";NA;5;2
"f80c8490a7984395067484407b6b5036f9839f695b21f07f6ef95103fb825a0c";"1,48E+12";10;"f";"cer";NA;NA;7;5598;"English";NA;5;2
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";1;"c";"cerNot";10;5;NA;285106;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";2;"f";"cerNot";NA;NA;2;11135;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";3;"c";"poss";6;5;NA;19156;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";4;"f";"poss";NA;NA;5;5241;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";5;"c";"probNot";7;5;NA;18691;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";6;"f";"cer";NA;NA;10;6568;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";7;"c";"cer";5;1;NA;8869;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";8;"f";"prob";NA;NA;7;5631;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";9;"c";"prob";7;5;NA;13461;"english";"no";5;5
"f28a48044d5f8d9a464e38976f2f8110b171d017e3a1cff30266d741824e5e9e";"1,48E+12";10;"f";"probNot";NA;NA;2;6624;"english";"no";5;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";1;"c";"poss";5;3;NA;22512;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";2;"f";"poss";NA;NA;6;6026;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";3;"c";"prob";6;3;NA;9716;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";4;"f";"cer";NA;NA;6;3864;"English";NA;8;5
