"id","itemTime","trialnumber","kind","expression","access","observation","state","RT","language","comments","engagement","difficulty"
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194658772,16,"f","cerLik",NA,NA,7,5560,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194665120,17,"c","probLik",6,6,NA,6347,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194669369,18,"f","mightLik",NA,NA,3,4248,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194675538,19,"c","mightPos",5,4,NA,6167,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194678232,20,"f","isPos",NA,NA,5,2692,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194687110,21,"c","cerUnlik",8,0,NA,8876,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194692912,22,"f","probUnlik",NA,NA,4,5801,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194707285,23,"c","probUnlik",7,3,NA,14372,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194712971,24,"f","probPos",NA,NA,4,5684,"English",NA,10,2
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194857730,1,"c","probUnlik",6,5,NA,38015,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194880332,2,"f","probUnlik",NA,NA,6,22600,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194904262,3,"c","mightLik",6,3,NA,23929,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194909279,4,"f","isPos",NA,NA,6,5016,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194921904,5,"c","cerPos",3,2,NA,12624,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194927504,6,"f","mightUnlik",NA,NA,5,5599,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194938585,7,"c","isLik",6,2,NA,11080,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194940898,8,"f","isLik",NA,NA,6,2312,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194948770,9,"c","probPos",4,2,NA,7871,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194951642,10,"f","isUnlik",NA,NA,6,2870,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194968092,11,"c","cerUnlik",6,5,NA,16449,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194970292,12,"f","probPos",NA,NA,5,2199,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194976541,13,"c","mightUnlik",6,4,NA,6248,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194978541,14,"f","cerUnlik",NA,NA,6,1999,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194985654,15,"c","cerLik",3,1,NA,7111,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194987517,16,"f","probLik",NA,NA,5,1862,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194993582,17,"c","isPos",3,1,NA,6063,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194995862,18,"f","mightLik",NA,NA,5,2278,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480195001423,19,"c","mightPos",6,3,NA,5560,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480195005431,20,"f","cerLik",NA,NA,6,4007,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480195017560,21,"c","probLik",4,2,NA,12128,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480195021633,22,"f","mightPos",NA,NA,5,4071,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480195028337,23,"c","isUnlik",6,5,NA,6703,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480195030090,24,"f","cerPos",NA,NA,5,1752,"english","It was fine, thanks.",8,4
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203479942,1,"c","mightPos",5,2,NA,28949,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203484452,2,"f","mightPos",NA,NA,4,4509,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203492850,3,"c","cerLik",6,4,NA,8397,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203496271,4,"f","mightLik",NA,NA,7,3419,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203508165,5,"c","probPos",5,3,NA,11893,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203511202,6,"f","cerLik",NA,NA,5,3035,"English","Nice study!",8,6
